FIPS code,State,Jurisdiction,Equipment Type,Make,Model,VVPAT,Polling Place,Accessible Use,Early Voting,Absentee Ballots,County
4823100000,Texas,Hunt County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes,HUNT
4823100000,Texas,Hunt County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No,HUNT
4823100000,Texas,Hunt County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,HUNT
4823300000,Texas,Hutchinson County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes,HUTCHINSON
4823300000,Texas,Hutchinson County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,HUTCHINSON
4823300000,Texas,Hutchinson County,Electronic Poll Book,Data Unavailable,Data Unavailable,N/A,Yes,No,Yes,No,HUTCHINSON
4823500000,Texas,Irion County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No,IRION
4823500000,Texas,Irion County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,No,No,No,Yes,IRION
4823500000,Texas,Irion County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,IRION
4823700000,Texas,Jack County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No,JACK
4823700000,Texas,Jack County,Batch-Fed Optical Scanner,Hart InterCivic,Verity Central,N/A,No,No,No,Yes,JACK
4823700000,Texas,Jack County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,JACK
4823900000,Texas,Jackson County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes,JACKSON
